Flake.ID,Sec.Trans,Termin,Episode,L.mm,W.mm,T.mm,Max.Thick.mm,Or.Weight.g,Rem.Weight.g,W.Retrieved.g,GIUR.1.1,GIUR.1.2,GIUR.2.1,GIUR.2.2,GIUR.3.1,GIUR.3.2,Mean.Edge.Angle.Selected.ret
ML_IR_220,Trapezoidal Asymmetric,Feather,0,71.9,63.6,13.2,17,55.36,55.36,0,0,16.5,0,12.5,0,6.3,51.33
ML_IR_221,Triangular Asymmetric,Feather,0,65.1,51.3,21.5,25.4,51.42,51.42,0,0,25.4,0,21.1,0,20.2,39.33
ML_IR_222,Triangular,Feather,0,82,42.6,18.1,18.5,61.6,61.6,0,0,17.3,0,18.2,0,12.5,42.33
ML_IR_223,Triangular,Feather,0,76.3,39.5,20.4,21.3,65.99,65.99,0,0,20.2,0,21.1,0,13.2,60.67
ML_IR_225,Circular,Feather,0,58,54.4,16.6,20.7,47.45,47.45,0,0,20,0,17.7,0,10.6,49.33
ML_IR_226,Circular,Feather,0,85.7,70.3,16,20.6,107.2,107.2,0,0,20.5,0,16,0,7.2,43
ML_IR_227,Triangular,Feather,0,71.1,49.5,14.7,14.8,49.29,49.29,0,0,14.5,0,14.7,0,11.7,47.67
ML_IR_228,Circular,Feather,0,51.8,58.7,11.2,12,27.69,27.69,0,0,10.7,0,11.2,0,6.9,29
ML_IR_229,Triangular Asymmetric,Feather,0,56.3,53.4,18.4,20,44.02,44.02,0,0,20,0,18.4,0,11.3,66
ML_IR_230,Triangular,Feather,0,86.1,60.9,14.6,16.8,62.23,62.23,0,0,16.4,0,14.6,0,8,20.33
ML_IR_231,Triangular,Hinge,0,74.6,58.6,13.7,17.3,51.85,51.85,0,0,13.9,0,13.7,0,10.1,25.33
ML_IR_232,Triangular Asymmetric,Feather,0,68.5,48.3,9.9,10.3,22.66,22.66,0,0,9.7,0,9.9,0,5.7,20.33
ML_IR_233,Triangular,Hinge,0,56.5,54.4,14.3,14.4,37.87,37.87,0,0,13.3,0,14.3,0,13.9,42.33
ML_IR_234,Triangular,Feather,0,56.2,44.5,12.5,13.5,28.3,28.3,0,0,12.6,0,12.5,0,11.3,45.67
ML_IR_235,Triangular Asymmetric,Feather,0,86.4,51,14.2,14.6,34.68,34.68,0,0,14.6,0,14.5,0,5.3,43.67
ML_IR_236,Triangular,Feather,0,89.4,67.3,28.5,30.2,178.08,178.08,0,0,26.2,0,28.5,0,24.8,68.67
ML_IR_237,Triangular Asymmetric,Feather,0,94.6,64.6,26.3,27.7,121.2,121.2,0,0,19.1,0,26.3,0,20.3,38.67
ML_IR_238,Circular,Feather,0,72.7,66,14.9,23.2,85.79,85.79,0,0,23.6,0,14.9,0,11.3,40.67
ML_IR_239,Trapezoidal Asymmetric,Feather,0,69.4,53.1,21.4,24.1,71.51,71.51,0,0,23.7,0,21.4,0,16.2,62
ML_IR_240,Triangular,Feather,0,85.3,49.6,24,30.5,102.3,102.3,0,0,30.1,0,24,0,15.6,47.33
ML_IR_01,Triangular,Feather,0,41.8,28.6,8.8,9.5,9.4,9.4,0,0,8.8,0,8.3,0,7.2,32.67
ML_IR_02,Triangular,Feather,0,42.2,37.9,7.6,16.2,13.28,13.28,0,0,11.3,0,8.6,0,4.8,19.67
ML_IR_03,Triangular Asymmetric,Feather,0,38.3,39.3,16.9,16.5,13.04,13.04,0,0,13.7,0,11.2,0,7.9,32.67
ML_IR_04,Triangular,Feather,0,38.3,39.3,10.4,11,14.4,14.4,0,0,7.8,0,10.6,0,11.6,36
ML_IR_05,Triangular,Feather,0,53.9,41.1,12.7,14.4,21.11,21.11,0,0,13.3,0,11.7,0,8.6,21.33
ML_IR_06,Triangular Asymmetric,Feather,0,50.2,31,10.9,11.1,17.08,17.08,0,0,10,0,10.8,0,8.9,48.67
ML_IR_07,Trapezoidal,Feather,0,49,31,8,10.3,15.75,15.75,0,0,10.4,0,9,0,7.1,46.33
ML_IR_08,Triangular,Hinge,0,50.1,33.8,15.9,19.3,25.49,25.49,0,0,17.4,0,15.8,0,14.4,34.67
ML_IR_09,Circular,Feather,0,49.7,35.8,4.5,6.8,8.78,8.78,0,0,6.7,0,5.9,0,5.1,22
ML_IR_10,Trapezoidal Asymmetric,Feather,0,34.4,26,10.3,13.1,10.15,10.15,0,0,10.1,0,10.3,0,8.1,53.33
ML_IR_11,Triangular,Feather,0,53.3,27.4,5.5,6,10.8,10.8,0,0,6.7,0,5.8,0,5.8,37
ML_IR_12,Triangular,Feather,0,42.2,36.2,9.3,12.4,13.47,13.47,0,0,8.4,0,6.9,0,6.4,29.33
ML_IR_13,Trapezoidal Asymmetric,Hinge,0,60.3,41.5,12.9,15.7,28.82,28.82,0,0,15.2,0,12.7,0,7.4,37.33
ML_IR_14,Trapezoidal,Feather,0,36.2,38.1,4.9,7,5.8,5.8,0,0,5.5,0,5.3,0,3.9,28
ML_IR_15,Circular,Hinge,0,24.5,37.2,6.8,7.8,6.82,6.82,0,0,5.5,0,7.6,0,7.7,30
ML_IR_181,Trapezoidal Asymmetric,Feather,0,82.1,40.6,12.9,12.7,42.78,42.78,0,0,10.6,0,9.4,0,8.5,49
ML_IR_182,Trapezoidal,Feather,0,82.7,47.3,9.7,12.6,44.82,44.82,0,0,12.2,0,10.7,0,5.5,37.67
ML_IR_183,Circular,Feather,0,66.2,58.8,10.7,13.3,43.71,43.71,0,0,14.2,0,11.4,0,10,57
ML_IR_184,Circular,Feather,0,75.5,73,10.4,15.2,60.45,60.45,0,0,8.2,0,8.9,0,7.7,24
ML_IR_185,Triangular Asymmetric,Feather,0,55.6,51.9,19.9,22.7,46.07,46.07,0,0,20.3,0,16.5,0,9.8,38.67
ML_IR_186,Triangular,Feather,0,56.7,52.8,12.6,13,30.2,30.2,0,0,14.7,0,13,0,11.9,37.67
ML_IR_187,Triangular,Feather,0,93.9,39,7.9,9.5,32,32,0,0,7.9,0,9.2,0,5.9,49
ML_IR_188,Circular,Feather,0,45.7,40.7,6.3,10.8,11.66,11.66,0,0,9,0,7,0,4.2,18
ML_IR_189,Triangular Asymmetric,Feather,0,46.4,40,12.4,12.4,13.96,13.96,0,0,7.9,0,11.7,0,10.3,34.33
ML_IR_190,Trapezoidal,Feather,0,60.9,33.4,6.3,6.4,13.4,13.4,0,0,6.1,0,6.3,0,5,29
ML_IR_191,Trapezoidal,Feather,0,53.4,42.6,4.2,6.7,12.11,12.11,0,0,4.9,0,4.3,0,3.6,33
ML_IR_192,Circular,Feather,0,32.6,54.5,10.1,11.4,14.36,14.36,0,0,10.5,0,11,0,10.4,24.5
ML_IR_193,Circular,Feather,0,30.2,39.3,8.7,9.5,11.36,11.36,0,0,7.6,0,8.8,0,8.4,13.5
ML_IR_194,Triangular,Feather,0,50.1,41.8,7.6,8.9,12,12,0,0,8.7,0,6.2,0,5.7,29.33
ML_IR_195,Triangular,Feather,0,45.5,43,8.1,10.5,12.23,12.23,0,0,10.2,0,9.6,0,7.4,31.33
