Artifact.ID,Frag+AF8-Cat,Complete,Length,Max.Length,Width,Prox.Width,Dist.Width,Prox.Thick,Mid.Thick,Dist.Thick,Plane.Height,Platform.Morph,Platform.x,Platform.y,Platform.z,Platform.Profile,Platform.Preparation,Cortex,Cortex+AF8-Loc,No.Scars,Long.Ridges,Trans.Section,Termination.type,Flake.Type,Weight,EPA,IPA,Angle.1.1,Angle.1.2,Angle.1.3,Angle.2.1,Angle.2.2,Angle.2.3,Angle.3.1,Angle.3.2,Angle.3.3,Mean.Left.Edge,Mean.Right.Edge,Mean.Edge.Angle.Selected.ret,Max.Thick.mm
ML+AF8-IR+AF8-146,C,Y,53.7,53.7,26.5,22.4,20.8,10,8.9,7.7,9.9,Triangular,20.5,9,NA,BF,D,2,2,2,0,Triangular,Feather,Flake,13.38,57,111,70,55,39,NA,45,NA,45,44,37,54.67,42,42,10
ML+AF8-IR+AF8-147,C,Y,77.8,77.8,45,44.5,25.3,18.4,15.1,6.4,16.1,Trapezoid,19.6,31.8,13.9,CX,L,1,1,0,0,Circular,Feather,Flake,53.59,55,125,64,49,45,NA,53,NA,53,51,69,52.67,57.67,52.67,18.4
ML+AF8-IR+AF8-148,C,Y,62.8,62.8,49.8,41.7,44,19.8,15.6,11.7,16.3,Triangular,31.3,17,NA,CX,C,3,2,1,1,Triangular,Hinge,Flake,48.57,50,128,85,53,45,NA,101,NA,40,25,23,61,29.33,29.33,19.8
ML+AF8-IR+AF8-149,C,Y,57,57,37.2,25.6,23.5,15.7,14,7,14,Triangular,19.6,9.7,NA,CC,C,3,2,1,0,Triangular,Feather,Flake,21.67,68,100,82,71,66,NA,40,NA,46,35,29,73,36.67,36.67,15.7
ML+AF8-IR+AF8-150,C,Y,35.3,35.3,33.5,28.9,33.4,12.7,10.3,9.5,10.3,Triangular,21.3,9.4,NA,CX,L,3,2,1,0,Triangular,Feather,Flake,11.46,45,128,84,75,53,NA,60,NA,36,38,46,70.67,40,40,12.7
ML+AF8-IR+AF8-196,C,Y,70.5,70.5,51.5,26.7,41.8,7.2,6.6,6.3,11,Trapezoid,8,14.8,6.6,CC,L,4,3,3,0,Trapezoidal Asymmetric,Feather,Backed Flake,24.08,63,105,NA,NA,NA,NA,43,NA,45,30,49,+ACM-DIV/0+ACE-,41.33,41.33,7.3
ML+AF8-IR+AF8-197,C,Y,65.7,65.7,47.2,33.1,35.5,15.3,16.2,15.4,20.5,Trapezoid,10.7,17.7,7.8,CC,L,3,2,2,0,Triangular Asymmetric,Feather,Backed Flake,48.55,59,129,64,37,36,NA,70,NA,NA,NA,NA,45.67,+ACM-DIV/0+ACE-,45.67,20.8
ML+AF8-IR+AF8-198,C,Y,65.4,65.4,71.8,61.7,63.6,15.9,13.6,7.8,15.6,Rhombus,40.1,16.2,NA,BF,D,3,2,2,0,Trapezoidal,Feather,Flake,52.57,63,125,42,65,55,NA,44,NA,45,31,30,54,35.33,35.33,16
ML+AF8-IR+AF8-199,C,Y,77.8,77.8,74,58.4,41.8,17.4,19.2,10.6,20.7,Trapezoid,28.3,49.5,14.8,BF,D,2,2,3,0,Triangular,Feather,Flake,83.17,68,115,86,70,49,NA,59,NA,84,76,65,68.33,75,68.33,20.4
ML+AF8-IR+AF8-200,C,Y,48.2,48.2,52.3,33.1,47.4,19.4,19.8,11.6,20,Trapezoid,12.5,23,8.3,CX,C,3,2,2,0,Triangular Asymmetric,Feather,Backed Flake,46.64,62,121,48,30,29,40,55,58,NA,NA,NA,35.67,+ACM-DIV/0+ACE-,35.67,20
ML+AF8-IR+AF8-01,c,y,41.8,41.8,28.6,20.7,18.3,9.3,8.8,6.8,9.5,Rhombus,13.6,4.9,NA,cx,l,5,5,3,1,Triangular,Feather,Flake,9.4,65,115,71,68,58,NA,40,NA,44,25,29,65.67,32.67,32.67,9.5
ML+AF8-IR+AF8-02,c,y,42.2,42.2,37.9,27.5,26.7,11,7.6,5.9,7.1,Ellipse,5.2,2.7,NA,BF,D,5,5,2,1,Triangular,Feather,Flake,13.28,70,94,75,65,51,NA,30,NA,20,18,21,63.67,19.67,19.67,16.2
ML+AF8-IR+AF8-03,c,y,38.3,38.3,39.3,22.5,33.4,12.5,16.9,8,14.7,Ellipse,10,4.2,NA,ST,l,5,5,3,0,Triangular Asymmetric,Feather,ps+AC0-L,13.04,59,111,44,50,50,NA,40,NA,39,28,31,48,32.67,32.67,16.5
